PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8473507,Jeff Petry,D,Montréal Canadiens,55,12,30,42,75034,6
8480012,Elias Pettersson,C,Vancouver Canucks,26,10,11,21,28967,0
8477969,Marcus Pettersson,D,Pittsburgh Penguins,47,2,7,9,46488,8
8479547,Matthew Phillips,C,Calgary Flames,1,0,0,0,859,0
8474565,Alex Pietrangelo,D,Vegas Golden Knights,41,7,16,23,60104,20
8479516,Garrett Pilon,C,Washington Capitals,1,0,0,0,640,0
8477314,Brian Pinho,C,Washington Capitals,2,0,0,0,937,-2
8481596,Shane Pinto,C,Ottawa Senators,12,1,6,7,9015,6
8480145,Neal Pionk,D,Winnipeg Jets,54,3,29,32,71191,6
8475204,Brandon Pirri,C,Chicago Blackhawks,1,0,0,0,689,-2
8479514,Rem Pitlick,C,Nashville Predators,10,0,2,2,6782,3
8475752,Tyler Pitlick,C,Arizona Coyotes,38,6,5,11,37309,-1
8478040,Austin Poganski,R,St. Louis Blues,5,0,0,0,2269,-1
8478010,Brayden Point,C,Tampa Bay Lightning,56,23,25,48,61945,2
8477359,Tucker Poolman,D,Winnipeg Jets,39,0,1,1,42841,-2
8475613,Nate Prosser,D,Philadelphia Flyers,6,1,1,2,4699,-7
8478500,Ivan Provorov,D,Philadelphia Flyers,56,7,19,26,83995,4
8479344,Jesse Puljujarvi,R,Edmonton Oilers,55,15,10,25,49923,6
8477506,Ryan Pulock,D,New York Islanders,56,2,15,17,75400,15
8475796,Mark Pysyk,D,Dallas Stars,36,3,1,4,25295,6
8471228,Alexander Radulov,R,Dallas Stars,11,4,8,12,11741,9
8481479,Brogan Rafferty,D,Vancouver Canucks,1,0,1,1,838,-1
8477290,Michael Raffl,L,"Philadelphia Flyers,Washington Capitals",44,4,7,11,34987,-4
8476483,Rickard Rakell,L,Anaheim Ducks,52,9,19,28,55619,-14
8478420,Mikko Rantanen,R,Colorado Avalanche,52,30,36,66,62144,30
8476437,Victor Rask,C,Minnesota Wild,54,10,13,23,46814,1
8479992,Michael Rasmussen,C,Detroit Red Wings,40,3,9,12,35517,-5
8480056,Jack Rathbone,D,Vancouver Canucks,8,1,2,3,7443,1
8476415,Kyle Rau,C,Minnesota Wild,14,0,2,2,8029,-1
8471817,Ryan Reaves,R,Vegas Golden Knights,37,1,4,5,22043,0
